x,y,z,r
0.075,1.1749999999999998,17.0462,0.025
0.125,1.1749999999999998,17.0462,0.025
0.175,1.1749999999999998,17.0462,0.025
0.22499999999999998,1.1749999999999998,17.0462,0.025
0.27499999999999997,1.1749999999999998,17.0462,0.025
0.325,1.1749999999999998,17.0462,0.025
0.375,1.1749999999999998,17.0462,0.025
0.425,1.1749999999999998,17.0462,0.025
0.475,1.1749999999999998,17.0462,0.025
0.025,1.2249999999999999,17.0462,0.025
0.075,1.2249999999999999,17.0462,0.025
0.125,1.2249999999999999,17.0462,0.025
0.175,1.2249999999999999,17.0462,0.025
0.22499999999999998,1.2249999999999999,17.0462,0.025
0.27499999999999997,1.2249999999999999,17.0462,0.025
0.325,1.2249999999999999,17.0462,0.025
0.375,1.2249999999999999,17.0462,0.025
0.425,1.2249999999999999,17.0462,0.025
0.475,1.2249999999999999,17.0462,0.025
0.025,1.275,17.0462,0.025
0.075,1.275,17.0462,0.025
0.125,1.275,17.0462,0.025
0.175,1.275,17.0462,0.025
0.22499999999999998,1.275,17.0462,0.025
0.27499999999999997,1.275,17.0462,0.025
0.325,1.275,17.0462,0.025
0.375,1.275,17.0462,0.025
0.425,1.275,17.0462,0.025
0.475,1.275,17.0462,0.025
0.025,1.3249999999999997,17.0462,0.025
0.075,1.3249999999999997,17.0462,0.025
0.125,1.3249999999999997,17.0462,0.025
0.175,1.3249999999999997,17.0462,0.025
0.22499999999999998,1.3249999999999997,17.0462,0.025
0.27499999999999997,1.3249999999999997,17.0462,0.025
0.325,1.3249999999999997,17.0462,0.025
0.375,1.3249999999999997,17.0462,0.025
0.425,1.3249999999999997,17.0462,0.025
0.475,1.3249999999999997,17.0462,0.025
0.025,1.3749999999999998,17.0462,0.025
0.075,1.3749999999999998,17.0462,0.025
0.125,1.3749999999999998,17.0462,0.025
0.175,1.3749999999999998,17.0462,0.025
0.22499999999999998,1.3749999999999998,17.0462,0.025
0.27499999999999997,1.3749999999999998,17.0462,0.025
0.325,1.3749999999999998,17.0462,0.025
0.375,1.3749999999999998,17.0462,0.025
0.425,1.3749999999999998,17.0462,0.025
0.475,1.3749999999999998,17.0462,0.025
0.025,1.4249999999999998,17.0462,0.025
0.075,1.4249999999999998,17.0462,0.025
0.125,1.4249999999999998,17.0462,0.025
0.175,1.4249999999999998,17.0462,0.025
0.22499999999999998,1.4249999999999998,17.0462,0.025
0.27499999999999997,1.4249999999999998,17.0462,0.025
0.325,1.4249999999999998,17.0462,0.025
0.375,1.4249999999999998,17.0462,0.025
0.425,1.4249999999999998,17.0462,0.025
0.475,1.4249999999999998,17.0462,0.025
0.025,1.4749999999999999,17.0462,0.025
0.075,1.4749999999999999,17.0462,0.025
0.125,1.4749999999999999,17.0462,0.025
0.175,1.4749999999999999,17.0462,0.025
0.22499999999999998,1.4749999999999999,17.0462,0.025
0.27499999999999997,1.4749999999999999,17.0462,0.025
0.325,1.4749999999999999,17.0462,0.025
0.375,1.4749999999999999,17.0462,0.025
0.425,1.4749999999999999,17.0462,0.025
0.475,1.4749999999999999,17.0462,0.025
0.025,1.5249999999999997,17.0462,0.025
0.075,1.5249999999999997,17.0462,0.025
0.125,1.5249999999999997,17.0462,0.025
0.175,1.5249999999999997,17.0462,0.025
0.22499999999999998,1.5249999999999997,17.0462,0.025
0.27499999999999997,1.5249999999999997,17.0462,0.025
0.325,1.5249999999999997,17.0462,0.025
0.375,1.5249999999999997,17.0462,0.025
0.425,1.5249999999999997,17.0462,0.025
0.475,1.5249999999999997,17.0462,0.025
0.025,1.5749999999999997,17.0462,0.025
0.075,1.5749999999999997,17.0462,0.025
0.125,1.5749999999999997,17.0462,0.025
0.175,1.5749999999999997,17.0462,0.025
0.22499999999999998,1.5749999999999997,17.0462,0.025
0.27499999999999997,1.5749999999999997,17.0462,0.025
0.325,1.5749999999999997,17.0462,0.025
0.375,1.5749999999999997,17.0462,0.025
0.425,1.5749999999999997,17.0462,0.025
0.475,1.5749999999999997,17.0462,0.025
